Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Bothidae,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,129,0,31,117,0.654247126,0.140122866,0.543819585,0.553832718,0.578490589,0.637495118,0.704566597,0.84724631,0.944623633,354.8575913,0.066855313,296.3659056,313.3668247,342.8869602,359.3479242,375.3184729,384.4231397,385.2750695,58.04113977,0.073423693,52.26795253,53.03484895,54.36363226,57.41542063,60.47904643,66.36092751,69.98855961
Uranoscopus scaber,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,127,0,0,332,0.675813851,0.151060338,0.543951807,0.556726569,0.597953722,0.656394774,0.739856293,0.900449429,0.996329602,331.7221521,0.090157901,261.1480122,279.712946,314.798256,338.0301557,357.3601974,370.4793352,372.3790163,56.04560625,0.061741118,50.50660519,51.26908868,53.61680324,55.41322466,58.24035883,62.87744762,65.23150034
Decapterus spp,"Pacific, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,98,0,0,175,0.671030051,0.153758474,0.54601386,0.558431066,0.59026251,0.648640507,0.738294781,0.915769059,0.999973214,330.6750851,0.100612418,252.7452984,269.1841088,311.2488774,339.0155964,359.0614562,370.8447598,374.5517385,55.47322983,0.053518052,51.01414395,51.63952155,53.10218499,54.93959634,57.49608708,61.62182239,63.18463211
Sillago sihama,"Indian Ocean, Eastern",0.5,0.9,0,1,0.3,0.7,1950,2012,266,0,266,2704,0.806856858,0.155078119,0.521644291,0.596384428,0.728279019,0.828996523,0.919109012,0.983622462,0.999809882,666.229751,0.073639481,542.9339439,580.9297361,632.3319122,675.2494914,708.7557166,733.2926949,738.3833054,134.3880108,0.132258285,96.07222093,106.4362713,122.6714855,135.018349,147.6223833,166.8142446,183.5969217
Sillago sihama,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,176,0,60,1129,0.742804497,0.154587668,0.541843165,0.581666821,0.653780307,0.734204181,0.837098411,0.966852792,0.999869612,396.6681407,0.098131142,319.2859894,334.0656496,367.4994938,398.8850576,432.0115424,455.1343631,460.8407314,73.66171964,0.065223194,62.12899819,65.52353522,70.34628637,74.13470285,77.4244779,81.09701215,83.76217428
Cyttus novaezealandiae,"Pacific, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,452,0,0,216,0.664457318,0.170169867,0.524276482,0.54420658,0.578344844,0.63490622,0.754791386,0.943748012,0.997477691,728.2450411,0.041159358,656.3457143,666.7532573,707.1953055,737.9155145,753.104704,762.3762996,764.1969342,120.9719366,0.129236925,100.0929216,103.5335784,109.2707713,117.2656791,133.4127389,157.1855553,163.6725519
Rioraja agassizi,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,417,0,108,2102,0.817434336,0.145462757,0.536947595,0.619834959,0.74132387,0.839485051,0.924482026,0.983297042,0.99969346,741.9604041,0.03880085,664.5075452,687.262155,722.727666,747.3553677,766.7757725,779.7689001,782.642669,151.6259776,0.13067443,104.8988684,119.1582818,138.7693688,154.6422864,167.6634576,182.754873,194.0654695
Cephalopholis fulva,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,139,0,54,628,0.720123427,0.15107195,0.550233329,0.577250089,0.636794923,0.709943902,0.812220575,0.935849069,0.999293265,489.8113878,0.08974598,397.9372668,415.1727398,457.3509577,498.0338951,531.0066498,548.8836615,553.5722464,88.18116373,0.065049788,76.06744527,78.83664476,84.16964673,88.31441055,92.7023185,97.67424258,100.3639371
Lepidoperca pulchella,"Pacific, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,229,0,70,869,0.733704051,0.155784753,0.545226457,0.581927828,0.64340559,0.724340741,0.832989971,0.951997517,0.997653394,371.9189517,0.084191824,313.0415008,322.4411528,347.0151068,374.155889,399.7739174,420.6712181,425.2932736,68.21961035,0.07493528,57.856442,60.47315342,64.52635301,67.82578955,72.44346959,77.29727562,79.74583073
Soleidae,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,529,0,61,776,0.675810808,0.164133695,0.508083497,0.535663126,0.596913595,0.655979196,0.760220041,0.9282811,0.998909818,656.9672675,0.033919758,608.4432621,615.6144139,640.0194541,661.4961857,675.8881534,687.2715076,690.3843866,110.996395,0.131647235,87.15944761,91.35108626,101.0171952,108.4338476,121.3997126,143.0308425,152.6486772
Crenidens crenidens,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,638,0,50,419,0.64793449,0.114210338,0.530501055,0.55947746,0.591856093,0.629914433,0.706309268,0.795022553,0.848461895,697.7462504,0.013501988,677.4828066,681.6895344,689.9736433,699.5510361,705.7792999,710.5193823,711.7981536,113.0234653,0.100982252,94.40241787,99.06400931,104.3049603,110.3965869,121.9220009,135.6325404,143.7120154
Batrachoididae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,257,0,40,425,0.699095464,0.157133852,0.544137496,0.570545071,0.612762644,0.686608046,0.775840321,0.947048097,0.991169235,436.2277145,0.094448151,354.3660927,364.5479622,409.2422555,441.5009304,474.9085595,491.8051925,496.2279476,76.24120411,0.063883922,67.41246599,69.46303969,72.89152193,75.53677393,79.50502565,86.11684166,88.23350298
Xyrichtys novacula,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,274,0,92,1709,0.770781119,0.144034437,0.548866726,0.600749864,0.693567868,0.774285398,0.866628984,0.968564138,0.999238093,632.4267308,0.077941453,520.639638,550.6947609,596.4971449,637.3002412,675.8941658,705.6045523,712.4623248,121.8656459,0.082974677,97.33440934,104.3412603,115.2740368,123.0760854,130.2241249,136.6898315,142.2095939
Stromateidae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,231,0,78,2129,0.784835409,0.147356946,0.538365982,0.608034174,0.703889629,0.790686223,0.888912539,0.975234749,0.999634888,455.7596296,0.096651643,360.3705628,384.4118872,423.5642516,458.4659436,493.2277845,525.4351505,531.9463885,89.42407388,0.086969275,71.49101819,76.93147068,83.94826964,89.87913873,95.67861039,102.4542508,107.5285568
Uranoscopus scaber,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,262,0,165,2731,0.796271707,0.145890081,0.536999116,0.611743328,0.719758412,0.814550752,0.893346345,0.976167243,0.99981879,827.7675603,0.091902349,646.0055571,700.5030379,774.8028309,838.866331,894.5520422,937.3689098,948.5689885,164.781972,0.106804128,126.8430401,137.8366475,153.3744478,164.2087064,178.1444237,197.1724974,204.4711593
Pterygotrigla picta,"Pacific, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,116,0,102,2915,0.814010636,0.143441658,0.554386009,0.621721474,0.733999082,0.831007959,0.921204393,0.984283984,0.999985053,443.0227176,0.101456707,332.5833034,366.0436468,412.9870113,450.7509903,481.7868807,505.9401214,512.1329771,90.15630098,0.126990325,70.42664673,74.77277725,81.89622156,88.52818727,98.40366893,113.6157776,124.7948491
Clupeoidei,"Indian Ocean, Eastern",0.5,0.9,0,1,0.3,0.7,1950,2012,229138,0,229138,3277,0.838271244,0.159478759,0.538706813,0.621100809,0.749326529,0.860794304,0.962544712,1.029896077,1.059667538,504281.4229,0.108624113,376522.7875,411617.8063,466851.9392,512921.2183,553483.7238,581627.3159,589487.369,105681.1539,0.137555564,78956.31441,86026.67752,95163.43308,104426.1177,116700.4059,134599.5854,151107.2384
Citharichthys sordidus,"Pacific, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,296,0,86,838,0.719550269,0.158345656,0.529397783,0.57225346,0.632818058,0.712098853,0.814380238,0.947308008,0.999492312,625.136168,0.094495492,505.6106408,529.6988315,582.1180364,631.3400957,680.200317,710.5383564,718.6293417,112.4542245,0.068461632,94.91963073,100.412095,106.9683416,112.5399393,118.5145131,125.3222211,128.4957564
Lile stolifera,"Pacific, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,259,0,0,1614,0.763635495,0.154646049,0.531608375,0.590189314,0.678498119,0.762317337,0.868237638,0.968613074,0.999994571,778.7935489,0.087174748,636.6431298,669.4672306,725.4697862,785.105121,841.0455554,878.9065864,886.4428735,148.6785993,0.081927919,117.6259884,126.8439835,140.8770654,150.9002841,158.3960701,165.8748945,172.0428861
Aphia minuta,Mediterranean and Black Sea,0.5,0.9,0,1,0.01,0.4,1950,2012,365,0,21,986,0.715121613,0.157602899,0.517706727,0.561096583,0.630633412,0.706990013,0.807244921,0.934972957,0.999856683,879.2166277,0.076625921,736.5175242,769.4756444,830.2407631,887.6805263,939.5303833,974.3466354,983.0792617,157.1867034,0.085309237,126.9817239,135.4496239,147.9488705,156.9702874,167.6572057,180.5645795,186.9083265
Nematalosa nasus,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,292,0,289,3029,0.804175825,0.15447663,0.517509657,0.597656244,0.720449685,0.826545677,0.913891526,0.984883096,0.999983173,1038.841552,0.095173986,791.5208278,868.6884718,970.6933551,1054.860165,1126.910853,1174.521643,1185.714014,208.8528157,0.133431254,153.4034783,168.8807741,189.6266225,207.1698717,229.2936026,263.0743799,294.0572879
Bothus pantherinus,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,124,0,81,2029,0.766508416,0.148593587,0.543028934,0.596802817,0.684267672,0.764244807,0.869020059,0.968135091,0.999777381,455.233086,0.129842156,334.3139349,364.2472288,410.144632,461.79259,508.0624642,547.7033755,556.2025688,87.23499798,0.066890455,74.9433666,78.44236664,82.90127569,86.97107169,92.13600174,97.12383091,99.39476996
Ostraciidae,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,216,0,103,692,0.71349558,0.156618396,0.53676562,0.574095496,0.628252123,0.698348074,0.798915317,0.946617189,0.997689638,695.9272893,0.114798998,535.7990871,564.0088337,638.8211597,712.7606896,769.1542751,810.1691025,820.0989142,124.1352612,0.04696527,109.372877,114.4700325,119.8926595,124.5088589,128.7555196,133.3841345,136.5860792
Trachinidae,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,355,0,184,2274,0.784320426,0.146702176,0.528434064,0.603212258,0.707377589,0.792834688,0.883635457,0.974795028,0.999424029,1092.277631,0.093738045,861.5384913,920.098679,1019.978578,1105.557274,1182.378012,1243.700162,1258.987943,214.1739144,0.094709646,166.1135027,181.2952347,200.3531372,215.3137682,230.9024789,247.7051933,252.5358254
Conodon nobilis,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,301,0,254,3008,0.800463526,0.155497209,0.513665981,0.599745449,0.7149091,0.823255911,0.9123625,0.98030755,0.999918043,1117.849206,0.101326303,845.6578235,925.8057478,1041.614885,1136.681476,1215.375048,1278.742687,1293.168984,223.6993794,0.129412893,165.9323445,182.4295819,203.6586375,221.7517788,245.136544,281.4228858,302.3074091
Acanthuridae,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,326,0,312,2358,0.821062655,0.146986878,0.543055781,0.619575002,0.745054502,0.847345012,0.930514877,0.98653826,0.9996954,940.3757421,0.055184341,807.6721096,846.8062523,903.613651,950.9651743,985.4003723,1008.286562,1014.330373,193.0268509,0.128610179,137.5143729,153.6026204,176.2989805,195.2342168,212.09928,235.7257581,251.9303744
Priacanthus macracanthus,"Indian Ocean, Eastern",0.5,0.9,0,1,0.3,0.7,1950,2012,543,0,538,2671,0.8165739,0.14662076,0.5365682,0.618308202,0.738950586,0.840349657,0.921950021,0.987339119,0.999978712,1789.090264,0.078014868,1444.257428,1546.289623,1690.414365,1817.338628,1908.953805,1974.615478,1993.587338,365.2311035,0.125183948,265.3709409,296.0481345,334.5071737,365.270433,399.3245325,451.8126988,494.8479379
Selar crumenophthalmus,"Pacific, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,395,0,216,2899,0.816189705,0.144277644,0.540727555,0.622940707,0.741772694,0.839035292,0.919595332,0.983080002,0.99999268,1174.077634,0.10241524,888.3652299,967.7089044,1090.110425,1196.473884,1280.037712,1338.925039,1355.160326,239.5675194,0.125656978,182.6506864,198.250043,217.6574061,236.5382452,261.8507356,300.4317629,329.6658969
Mulloidichthys flavolineatus,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,261,0,130,922,0.734608612,0.157001314,0.546062535,0.581593478,0.644449424,0.720936673,0.833693341,0.95826107,0.998080526,743.8250112,0.107882374,592.6936,617.3297494,680.8918136,755.6648012,817.4070563,863.9925824,874.9640664,136.6050647,0.056113736,119.283583,123.187665,131.3545507,137.2132615,142.8088109,148.3138299,152.3199458
Oblada melanura,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,518,0,405,2962,0.807615971,0.151603147,0.521184676,0.606309197,0.72485451,0.829598141,0.917865914,0.983919468,0.999936726,1397.920349,0.097616004,1065.044216,1162.840483,1309.831806,1423.700791,1517.361598,1587.484391,1604.105673,282.2457,0.132405128,208.593478,229.5679187,256.0105922,278.6601382,310.1250165,357.4332214,400.6092149
Larimus breviceps,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,254,0,248,2842,0.80995624,0.144303445,0.546811116,0.621172832,0.72688613,0.831072793,0.912343883,0.983565423,0.999817749,1095.722019,0.106335625,817.3910869,899.3041194,1016.053961,1112.259629,1199.361155,1264.600906,1282.802308,221.8717216,0.115088104,174.651625,187.2622375,202.6819451,218.8959094,242.9596656,271.3929615,283.7556654
Gerres oblongus,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,697,0,666,2839,0.797034434,0.164300062,0.500546841,0.583443337,0.710856915,0.824012039,0.914194402,0.983989111,0.99988508,2058.102173,0.061927883,1729.501879,1829.983159,1971.16395,2083.407846,2167.36625,2226.961189,2241.769442,410.0945754,0.142884543,280.0111474,318.3621326,371.8845145,414.2824869,456.3551582,510.4287411,556.5250183
Exocoetidae,"Pacific, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,122,0,82,1580,0.758617046,0.155575551,0.532479022,0.590459833,0.668133765,0.760440326,0.859111033,0.969459244,0.999997154,474.5999306,0.135144843,354.6010845,378.2774146,424.5663945,477.6132827,533.4391327,577.3252016,586.4359843,90.0098993,0.055955306,77.84472982,81.78947764,86.44796612,90.014962,94.16921538,98.01138725,99.25908195
Alepes djedaba,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,267,0,243,2790,0.793070908,0.148716487,0.527483778,0.602770214,0.715207576,0.804799837,0.896289052,0.979762984,0.999902852,1054.650477,0.12269181,762.7975068,840.1112907,966.9314756,1070.42737,1167.118477,1251.027714,1272.217099,209.1031529,0.108644075,166.6121837,177.800244,191.5722524,207.1137741,227.91739,252.2247758,262.0821881
Mugil curema,"Pacific, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,584,0,176,905,0.706114955,0.157897922,0.515151414,0.564669475,0.622169046,0.690296987,0.798789328,0.941090895,0.996310471,1591.555906,0.069855044,1351.36047,1397.907077,1509.756509,1616.28329,1691.55559,1742.189509,1754.862899,280.9553566,0.091799309,225.9836592,241.7808201,261.9474863,279.7470321,301.6872827,328.077144,340.3827622
Cephalopholis hemistiktos,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,324,0,250,2655,0.801937038,0.146120463,0.537343906,0.61120363,0.725205001,0.817353383,0.902166874,0.981678933,0.999893566,1190.670616,0.119603667,870.3962585,960.4076847,1089.387496,1206.48153,1315.814593,1408.065866,1429.238716,238.7107169,0.106742247,191.1439635,203.5967152,219.3931319,236.3080346,259.0132843,287.8927304,299.4854077
Acanthuridae,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,363,0,205,1768,0.758117942,0.146894184,0.535829675,0.590287741,0.682972943,0.756783992,0.849318449,0.966860955,0.999734812,1343.094639,0.115135837,1019.690018,1094.212435,1226.573488,1360.856362,1482.950121,1575.216888,1599.946599,254.556036,0.066859246,213.3967585,225.6349781,242.7522124,256.010234,268.9063082,280.6471246,284.4513848
Serranus cabrilla,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,1149,0,100,1208,0.74497171,0.147262212,0.547452025,0.589727582,0.664026279,0.737405579,0.834875372,0.957228663,0.998845419,1754.716353,0.058240979,1538.489513,1587.694933,1674.483833,1768.216232,1843.453361,1905.446597,1920.755217,326.8035106,0.094790823,262.060872,277.5346641,304.2829276,327.649839,350.8157364,380.594865,396.4585825
Apogonidae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,952,0,0,263,0.667039409,0.169640636,0.523299699,0.539685972,0.574234163,0.648690027,0.759084865,0.918081313,0.993923893,1984.286275,0.056852912,1731.545086,1783.063703,1900.700054,2006.558085,2088.478769,2129.322464,2139.037742,330.899286,0.113019683,279.4801491,285.5748204,299.6745725,324.1834108,360.7581673,409.2487739,430.2560082
Amphichthys cryptocentrus,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,350,0,350,2816,0.798425327,0.150942153,0.533782338,0.604791213,0.717344453,0.819075528,0.905167302,0.979409437,0.999990863,1541.989539,0.108583843,1135.297946,1252.142064,1430.151184,1578.025656,1686.070579,1778.38446,1800.728408,307.7908752,0.121363131,238.5411144,256.2807614,280.3891272,303.6337977,336.1354891,381.8128736,399.0129643
Acanthuridae,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,1093,0,106,664,0.654129729,0.162104256,0.500785369,0.527585107,0.575558904,0.634792837,0.726704173,0.898967693,0.997988953,1912.838087,0.057281348,1640.986912,1707.16233,1848.62354,1932.4874,2007.190213,2053.443297,2064.704059,312.8110651,0.106141131,257.8146471,269.2685816,288.7514937,307.5560656,335.5835286,384.2641551,409.6248838
Scomberoides tol,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,623,0,270,734,0.700157296,0.150375096,0.534017474,0.569808391,0.619422463,0.681968866,0.774540263,0.933557512,0.999576627,1352.747378,0.093621839,1084.726127,1136.629607,1268.996261,1371.035781,1466.07961,1535.603303,1549.495357,236.7839866,0.061010757,205.835909,215.5713752,226.2426286,236.3852612,246.5613912,265.7746319,273.8952453
Priacanthus macracanthus,"Pacific, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,620,0,467,3051,0.806062416,0.151976147,0.517930155,0.600807257,0.726756438,0.826351833,0.916195211,0.982314409,0.999933814,2151.529956,0.098792791,1624.513985,1776.496495,2010.343059,2189.599485,2333.506972,2448.747611,2474.792484,433.5668586,0.13091763,319.7251216,352.0560318,393.7031218,428.5851485,476.380974,546.0647872,591.432331
Cephalopholis miniata,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,459,0,240,1938,0.777162724,0.140750597,0.543506858,0.60742714,0.70139717,0.780335987,0.869357473,0.969497814,0.999443645,1579.72484,0.10915795,1209.10257,1310.111469,1445.490983,1596.980387,1734.966462,1847.961156,1873.946799,306.9258148,0.073890472,252.8413997,269.6965344,290.9923747,307.2534417,326.1028873,343.0297861,348.1752719
Lutjanus quinquelineatus,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,459,0,306,2340,0.775102514,0.150566491,0.524376869,0.591976171,0.695638588,0.781646985,0.87493848,0.971144746,0.999933773,1691.798737,0.11462537,1269.346852,1381.47837,1552.262118,1710.544984,1869.636401,1988.116716,2018.809584,327.8293635,0.089898086,264.1410933,282.8092102,306.8798675,326.6494576,352.4813494,379.5934846,388.1239851
Holocentridae,"Atlantic, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,424,0,404,2833,0.809982223,0.147333116,0.541717272,0.618326637,0.726611506,0.830096604,0.918780069,0.982722614,0.999877577,1128.69273,0.078197398,909.1222633,973.6380831,1065.946749,1142.632246,1205.706617,1250.203545,1260.536448,228.5552616,0.129179247,169.7370884,186.0393075,207.4699785,227.8099155,250.3631661,285.0814771,312.2964439
Apogonidae,"Indian Ocean, Western",0.5,0.9,0,1,0.3,0.7,1950,2012,430,0,400,2974,0.787105511,0.155998375,0.517313092,0.591487206,0.70310081,0.803886517,0.895018949,0.978423718,0.999929268,1712.485958,0.120268272,1231.262481,1379.106906,1568.091232,1734.474318,1896.766566,2022.404459,2062.027335,336.9767837,0.110233043,263.8861814,285.3649999,308.2047999,335.1140568,369.3088452,404.7271736,418.8243713
Sillago sihama,"Pacific, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,878,0,823,2727,0.811780774,0.151145151,0.535696706,0.608872367,0.732092782,0.838629296,0.919159259,0.98467179,0.999858788,2681.563266,0.078130397,2167.063134,2309.71141,2537.865536,2718.993159,2866.374822,2966.976781,2989.366657,544.2103758,0.131167577,398.437362,435.5229275,496.0259469,543.6106846,597.4480366,677.0731813,740.3484283
Soleidae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,632,0,156,126,0.666924301,0.160159341,0.54330169,0.548351693,0.585959896,0.652434506,0.716790094,0.920025003,0.984706005,1897.189847,0.091737084,1502.37039,1570.295122,1827.659661,1924.39524,2044.763537,2109.942114,2120.961744,316.320503,0.068669437,286.6845618,289.8293599,299.0471818,313.8174462,327.3183363,361.1741138,369.8482863
Eucinostomus melanopterus,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,1087,0,0,1355,0.766578272,0.144771059,0.550346802,0.605515666,0.685805769,0.762544531,0.860831085,0.97210825,0.999985445,2510.188609,0.06952317,2131.355833,2221.278112,2374.221079,2536.537347,2665.228651,2758.597987,2780.420596,481.0640116,0.085819722,382.2641059,410.3857502,451.9573509,486.898191,514.0889504,546.5823385,562.7226726
Mullus argentinae,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,498,0,189,1281,0.744506001,0.153747951,0.538364969,0.584947793,0.657751211,0.736746414,0.838787314,0.961986562,0.999780206,1419.322249,0.104157587,1114.017671,1183.843307,1308.016885,1436.70592,1549.871337,1650.89819,1668.04655,264.1734829,0.062513662,223.856851,236.1806171,252.8137571,266.5441619,277.2493996,289.5273679,298.2117879
Sebastes viviparus,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,2601,0,534,1799,0.811219457,0.151821182,0.533337743,0.611482712,0.724295594,0.831959839,0.926171485,0.985674419,0.999943553,3832.500618,0.022247292,3606.64362,3680.02747,3770.823691,3846.102255,3907.457571,3944.397192,3953.093038,777.2497673,0.141598783,526.5575919,599.3346819,700.8316903,793.1842809,878.428548,937.6361925,984.7499684
Engraulis mordax,"Pacific, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,849,0,217,1807,0.73705916,0.162617679,0.514933752,0.562356172,0.653081499,0.733895952,0.839748558,0.960018332,0.999861784,1494.639147,0.083212104,1236.983831,1298.095631,1400.263813,1508.534606,1604.817084,1682.5606,1699.801038,275.4093685,0.094298666,217.5942693,231.9369691,257.2779884,277.624049,295.85233,317.2593638,333.0948687
Cottidae,"Pacific, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,973,0,373,1639,0.737626534,0.163033777,0.508224978,0.564357266,0.652190872,0.735199031,0.843675029,0.963220939,0.999846075,2284.679584,0.091291116,1848.519361,1952.491518,2120.492858,2310.962269,2473.58596,2595.603791,2629.021364,421.3100708,0.085299041,333.8243626,359.8661669,398.0280107,426.034949,450.3646223,476.5065936,496.7678564
Citharidae,"Atlantic, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,657,0,593,2731,0.815726431,0.143043276,0.55097517,0.623016009,0.734689117,0.836854134,0.921394258,0.982853659,0.999956671,2254.797523,0.104878185,1697.779032,1843.131282,2089.479969,2300.726817,2458.135583,2586.672283,2616.623328,459.8244841,0.120096296,358.0796752,383.5590137,419.903023,453.578594,503.1043156,568.6589756,601.0537586
Bothidae,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,658,0,181,315,0.693507602,0.145098177,0.551067498,0.571901783,0.618092141,0.681651456,0.75312635,0.917360011,0.997477469,2077.21347,0.097262164,1617.230617,1722.192387,1962.323339,2112.778905,2245.623132,2354.147176,2379.368183,360.1408331,0.048876699,326.8481164,334.7995096,346.385056,358.7282662,371.3505372,394.1093564,403.2877757
Engraulidae,"Pacific, Northwest",0.5,0.9,0,1,0.3,0.7,1950,2012,1620,0,956,1871,0.819018661,0.144802089,0.533095702,0.628865998,0.740335518,0.838780157,0.924355791,0.986739995,0.999910742,2194.728729,0.027188341,2033.144812,2084.174853,2152.071342,2203.954897,2245.460909,2274.368024,2281.051364,449.3809462,0.132531331,303.9561532,354.0525492,409.0231324,459.7854315,500.3469505,536.5801091,568.3268875
Decapterus spp,"Pacific, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,1234,0,80,680,0.696581118,0.170676786,0.520497022,0.55103758,0.60087294,0.680924392,0.796598716,0.953361235,0.997456772,2290.845647,0.098676603,1842.334082,1913.638868,2124.021774,2325.473986,2498.594278,2615.041883,2636.435114,398.9399557,0.074048471,341.7991208,357.319013,375.8496553,397.9135796,423.0695672,454.1152855,465.7735976
Tetraodontidae,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,724,0,667,2801,0.805464958,0.149530186,0.535353056,0.606818768,0.72589164,0.826870666,0.912281992,0.98179635,0.999998618,2845.690285,0.107327366,2118.924249,2334.025383,2625.932559,2902.476782,3115.070757,3273.429827,3314.547435,573.0259516,0.123791405,441.5535533,474.9633159,522.0314885,564.9116655,626.7495444,719.2759696,759.0464454
Selar crumenophthalmus,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,1151,0,693,2887,0.809264445,0.145296324,0.538298407,0.615890828,0.728407705,0.828834045,0.913797968,0.98195254,0.999748136,2977.035159,0.107702756,2214.40753,2433.491398,2753.850222,3023.851987,3254.992011,3443.23897,3492.388232,602.3021763,0.120032541,468.9485534,503.7577218,546.6848054,594.8821921,657.0905591,748.2221199,786.604722
Tetraodontidae,"Pacific, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,2621,0,6,509,0.695553678,0.161261107,0.527015358,0.553152221,0.611756918,0.679847909,0.785913313,0.933069384,0.999130627,4152.330187,0.068515255,3515.013365,3648.998689,3947.477512,4213.728354,4400.305024,4533.120345,4556.056831,722.0421336,0.093969406,599.1621152,625.8961775,673.1697378,717.2977299,774.8809038,852.2629583,886.3309191
Myctophidae,"Atlantic, Eastern Central",0.5,0.9,0,1,0.01,0.4,1950,2012,6912,0,0,435,0.737659328,0.195049957,0.502925034,0.5321888,0.627070678,0.747315043,0.873465926,0.980023839,0.997182923,6960.128487,0.002077676,6929.635295,6935.917741,6948.230261,6961.065185,6972.924454,6980.939885,6982.181479,1283.550926,0.194657013,877.4044632,926.3496657,1092.728734,1300.809856,1522.657508,1705.907454,1740.05463
Gerres oyena,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,1302,0,479,1091,0.735742993,0.159197218,0.534433337,0.581079194,0.643012634,0.728184342,0.836445198,0.963058191,0.998552989,3243.651692,0.094245813,2648.111997,2755.129985,3001.310138,3282.305587,3531.98347,3679.777325,3710.965668,596.623501,0.072751927,495.47805,525.734494,565.3695347,599.6947349,631.5555151,665.9421769,686.687914
