Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Alepes djedaba,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,61,0,34,2595,0.817868284,0.146356285,0.54191723,0.618891984,0.738739959,0.840860321,0.927247464,0.985758568,0.999957622,136.7531881,0.062656912,114.7871532,121.3730607,131.0615514,138.3061037,143.9004426,148.1197106,149.2383095,27.96152383,0.124467577,20.17296182,22.32059555,25.72455922,28.29799771,30.50829887,34.0299923,37.15185548
Batrachoididae,"Atlantic, Northwest",0.5,0.9,0,1,0.3,0.7,1950,2012,27,0,24,3288,0.799742038,0.158790026,0.515797503,0.588781436,0.714933699,0.824383215,0.912233027,0.982747953,0.999836012,67.46492366,0.090101172,53.32991109,57.09283886,63.25397521,68.33978606,72.96963096,76.03344101,76.90861874,13.48863389,0.140156027,9.897576504,10.79275223,12.16578982,13.32439107,14.90027501,17.18299091,19.1599561
Lutjanus vitta,"Pacific, Northwest",0.5,0.9,0,1,0.01,0.4,1950,2012,109,0,0,1647,0.805390081,0.157187482,0.518711341,0.594268385,0.726126771,0.832841318,0.91798295,0.984931065,0.999785083,155.5763145,0.017629102,148.091735,150.4667815,153.6439192,156.0386823,157.943671,159.1165346,159.4269287,31.32490514,0.148251685,20.65053032,23.47191122,28.36573671,32.34316053,35.39258285,37.71979493,39.78541925
Scorpaenidae,"Indian Ocean, Eastern",0.5,0.9,0,1,0.01,0.4,1950,2012,141,0,0.1,216,0.677885976,0.134596054,0.551969596,0.568882071,0.608342787,0.656142511,0.731884937,0.876873271,0.98209786,157.6594326,0.02199373,148.2915373,151.0700601,155.6366582,158.5227955,160.4948237,162.0361507,162.4143043,26.7187796,0.11271419,22.39733793,22.99557941,24.41340933,25.99425926,28.46021618,33.11234683,36.40920038
Boreogadus saida,"Atlantic, Northwest",0.5,0.9,0,1,0.01,0.4,1950,2012,58,0,0,326,0.674523078,0.167034879,0.52314316,0.547175972,0.587723051,0.648766259,0.760790557,0.931932484,0.996698712,111.0448175,0.082143547,91.07767422,94.39764186,104.8889175,113.0849063,119.0638498,123.2063499,123.6874108,18.72557301,0.085551723,16.16979721,16.73315811,17.44054352,18.48592328,19.91086799,21.98085567,22.70935403
Trisopterus minutus,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,40,0,29,2886,0.815613157,0.146383945,0.542364398,0.615491793,0.738187895,0.839185219,0.923050052,0.98341683,0.999932374,113.2883338,0.09845014,85.91922642,94.1185191,105.8576815,115.2568451,123.1224624,128.7707745,130.0524205,23.09986391,0.128173074,17.55065678,19.04617533,20.97523703,22.7816771,25.32426785,28.9253788,32.30197609
Barbourisia rufa,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,210,0,0,492,0.721567474,0.198064936,0.500665404,0.518878086,0.604883555,0.727645501,0.868278211,0.963585,0.998386975,211.4781401,0.002111115,210.6196117,210.7885424,211.1129974,211.4678344,211.8605961,212.1739933,212.2705371,38.14893683,0.19791854,26.41507226,27.40908511,31.92230586,38.44546718,45.88088754,50.98796552,52.74441234
Mullidae,"Pacific, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,28,0,21,2809,0.810132319,0.144675691,0.537397721,0.613070765,0.733155495,0.82961025,0.909711081,0.981124453,0.999792528,96.23641125,0.110333684,70.91213373,78.12001943,88.88736861,98.00316455,105.6501805,111.2801768,112.9355986,19.49105676,0.121848131,15.14412028,16.22154706,17.70012122,19.2448708,21.33461243,24.17007072,25.47144519
Pelates quadrilineatus,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,82,0,6,1078,0.729767634,0.157059166,0.529523834,0.574166588,0.646718885,0.714061685,0.8278596,0.956473021,0.998834264,136.4587497,0.072822954,115.7829157,120.1966342,128.54605,137.916881,145.3399783,150.8170378,151.78055,24.89579472,0.089276811,20.09285468,21.45385139,23.42621154,24.77142025,26.70223857,28.79779549,29.96614234
Holocentridae,"Pacific, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,41,0,23,2906,0.805456938,0.1478332,0.533871251,0.612622844,0.727308127,0.824045376,0.911935142,0.978367726,0.999607054,119.2768237,0.100216408,89.63879327,98.92120013,110.9959874,121.1388024,130.078884,135.9356376,137.5743757,24.01808629,0.126154268,18.29515535,19.76644106,21.81451614,23.74234823,26.37450522,29.93893775,31.91463174
